City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Port Blair,IN,82.44,scattered clouds,11.6667,92.75,
4,Dingle,PH,86.76,overcast clouds,10.9995,122.6711,
6,Naifaru,MV,81.18,overcast clouds,5.4444,73.3657,
17,Clarence Town,AU,80.82,overcast clouds,-32.5833,151.7833,
32,Waingapu,ID,85.59,scattered clouds,-9.6567,120.2641,
44,Kirakira,SB,83.26,overcast clouds,-10.4544,161.9205,
45,Saint-Philippe,RE,89.15,few clouds,-21.3585,55.7679,
47,Matara,LK,86.13,broken clouds,5.9485,80.5353,
50,Salalah,OM,75.29,clear sky,17.0151,54.0924,
53,Jambi,ID,85.59,scattered clouds,-9.6567,120.2641,
58,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,
64,Puerto Ayora,EC,74.55,overcast clouds,-0.7393,-90.3518,
75,Norsup,VU,83.75,overcast clouds,-16.0667,167.3833,
76,Kavieng,PG,83.66,light rain,-2.5744,150.7967,
77,Mayumba,GA,78.04,light rain,-3.432,10.6554,
81,Bonthe,SL,74.52,moderate rain,7.5264,-12.505,
83,Mitsamiouli,KM,81.77,broken clouds,-11.3847,43.2844,
86,Winneba,GH,79.27,overcast clouds,5.3511,-0.6231,
91,Ingraj Bazar,IN,82.44,scattered clouds,11.6667,92.75,
92,Hualmay,PE,70.56,overcast clouds,-11.0964,-77.6139,
94,Georgetown,MY,89.53,scattered clouds,5.4112,100.3354,
97,Road Town,VG,73.99,clear sky,18.4167,-64.6167,
105,Jamestown,MY,89.53,scattered clouds,5.4112,100.3354,
109,Buala,SB,83.26,overcast clouds,-10.4544,161.9205,
112,Ugoofaaru,MV,81.18,overcast clouds,5.4444,73.3657,
117,Hithadhoo,MV,81.18,overcast clouds,5.4444,73.3657,
119,Raisen,IN,82.44,scattered clouds,11.6667,92.75,
122,Bengkulu,ID,85.59,scattered clouds,-9.6567,120.2641,
126,Ramgarh,IN,82.44,scattered clouds,11.6667,92.75,
130,Kanniyakumari,IN,82.44,scattered clouds,11.6667,92.75,
135,Port Moresby,PG,83.66,light rain,-2.5744,150.7967,
136,Meulaboh,ID,85.59,scattered clouds,-9.6567,120.2641,
139,Oistins,BB,77.09,few clouds,13.0667,-59.5333,
140,Padang,ID,85.59,scattered clouds,-9.6567,120.2641,
141,Gouyave,GD,74.17,scattered clouds,12.1646,-61.7296,
142,Kavaratti,IN,82.44,scattered clouds,11.6667,92.75,
143,Cabadiangan,PH,87.93,overcast clouds,9.7531,122.4739,
147,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,
148,Ghanzi,BW,73.51,broken clouds,-21.5667,21.7833,
156,Samarai,PG,83.66,light rain,-2.5744,150.7967,
158,Sao Filipe,CV,72.61,overcast clouds,14.8961,-24.4956,
163,Palabuhanratu,ID,85.59,scattered clouds,-9.6567,120.2641,
165,Cayenne,GF,77.09,broken clouds,4.9333,-52.3333,
171,Lata,SB,83.26,overcast clouds,-10.4544,161.9205,
177,Puerto El Triunfo,SV,85.12,clear sky,13.2833,-88.55,
180,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,
183,Veraval,IN,82.44,scattered clouds,11.6667,92.75,
189,Airai,TL,71.78,scattered clouds,-8.9266,125.4092,
195,Namatanai,PG,83.66,light rain,-2.5744,150.7967,
209,Butaritari,KI,81.34,light rain,3.0707,172.7902,
210,Vao,NC,80.55,overcast clouds,-22.6667,167.4833,
214,San Policarpo,PH,87.93,overcast clouds,9.7531,122.4739,
215,Ouesso,CG,70.81,overcast clouds,1.6136,16.0517,
221,Ijaki,KI,81.34,light rain,3.0707,172.7902,
225,Pennagaram,IN,82.44,scattered clouds,11.6667,92.75,
227,Kulhudhuffushi,MV,81.18,overcast clouds,5.4444,73.3657,
234,Sinnamary,GF,77.09,broken clouds,4.9333,-52.3333,
236,Rosignol,GY,73.4,overcast clouds,6.2833,-57.5333,
241,Ormara,PK,71.64,clear sky,25.2088,64.6357,
242,Basco,PH,87.93,overcast clouds,9.7531,122.4739,
244,Lethem,GY,73.4,overcast clouds,6.2833,-57.5333,
264,Teupasenti,HN,71.06,few clouds,14.2167,-86.7,
265,Latung,PH,87.93,overcast clouds,9.7531,122.4739,
266,Dalbandin,PK,71.64,clear sky,25.2088,64.6357,
270,Boyolangu,ID,85.59,scattered clouds,-9.6567,120.2641,
274,Lorengau,PG,83.66,light rain,-2.5744,150.7967,
283,Mangan,IN,82.44,scattered clouds,11.6667,92.75,
285,Lima,PE,70.56,overcast clouds,-11.0964,-77.6139,
289,Rungata,KI,81.34,light rain,3.0707,172.7902,
297,Banda Aceh,ID,85.59,scattered clouds,-9.6567,120.2641,
299,Kupang,ID,85.59,scattered clouds,-9.6567,120.2641,
300,Fuerte Olimpo,PY,73.98,scattered clouds,-21.0415,-57.8738,
301,Santa Ana,PE,70.56,overcast clouds,-11.0964,-77.6139,
303,Aden,YE,77.23,few clouds,12.7794,45.0367,
306,Sandakan,MY,85.68,few clouds,5.8402,118.1179,
310,Grand Baie,MU,86.47,overcast clouds,-20.0182,57.5802,
311,Noumea,NC,80.55,overcast clouds,-22.6667,167.4833,
313,Grand Gaube,MU,86.47,overcast clouds,-20.0182,57.5802,
316,Gulbarga,IN,82.44,scattered clouds,11.6667,92.75,
319,Tabou,CI,76.59,few clouds,4.423,-7.3528,
320,Manggar,ID,85.59,scattered clouds,-9.6567,120.2641,
326,Mamallapuram,IN,82.44,scattered clouds,11.6667,92.75,
332,Colombo,LK,86.13,broken clouds,5.9485,80.5353,
333,Sri Aman,MY,85.68,few clouds,5.8402,118.1179,
335,Goderich,SL,74.52,moderate rain,7.5264,-12.505,
338,Daru,PG,83.66,light rain,-2.5744,150.7967,
343,Sungai Besar,MY,85.68,few clouds,5.8402,118.1179,
345,Ponta Do Sol,CV,72.61,overcast clouds,14.8961,-24.4956,
350,Tendukheda,IN,82.44,scattered clouds,11.6667,92.75,
358,Cagayan De Tawi-Tawi,PH,87.93,overcast clouds,9.7531,122.4739,
360,Saint-Georges,GF,77.09,broken clouds,4.9333,-52.3333,
370,Auki,SB,83.26,overcast clouds,-10.4544,161.9205,
373,Saint-Joseph,RE,89.15,few clouds,-21.3585,55.7679,
374,Soanierana Ivongo,MG,82.42,light rain,-16.9167,49.5833,
383,Mutsamudu,KM,81.77,broken clouds,-11.3847,43.2844,
392,Ternate,ID,85.59,scattered clouds,-9.6567,120.2641,
398,Tsienyane,BW,73.51,broken clouds,-21.5667,21.7833,
400,Bambanglipuro,ID,85.59,scattered clouds,-9.6567,120.2641,
415,Talara,PE,70.56,overcast clouds,-11.0964,-77.6139,
416,Camana,PE,70.56,overcast clouds,-11.0964,-77.6139,
425,Biak,ID,85.59,scattered clouds,-9.6567,120.2641,
433,Vanimo,PG,83.66,light rain,-2.5744,150.7967,
436,Tsiroanomandidy,MG,82.42,light rain,-16.9167,49.5833,
441,Mocuba,MZ,77.85,overcast clouds,-16.8392,36.9856,
443,Hambantota,LK,86.13,broken clouds,5.9485,80.5353,
447,Anta,PE,70.56,overcast clouds,-11.0964,-77.6139,
459,Nizwa,OM,75.29,clear sky,17.0151,54.0924,
460,Galle,LK,86.13,broken clouds,5.9485,80.5353,
463,Salinas,EC,74.55,overcast clouds,-0.7393,-90.3518,
466,Inhambane,MZ,77.85,overcast clouds,-16.8392,36.9856,
467,Thano Bula Khan,PK,71.64,clear sky,25.2088,64.6357,
469,Chepo,PA,78.01,overcast clouds,9.1667,-79.1,
473,Atambua,ID,85.59,scattered clouds,-9.6567,120.2641,
477,Santa Maria,CV,72.61,overcast clouds,14.8961,-24.4956,
483,Merida,PH,87.93,overcast clouds,9.7531,122.4739,
486,Sainte-Marie,RE,89.73,clear sky,-20.8968,55.5496,
497,Hihifo,TO,80.76,scattered clouds,-21.2,-175.2,
503,Wa,GH,79.27,overcast clouds,5.3511,-0.6231,
505,Marcona,PE,70.56,overcast clouds,-11.0964,-77.6139,
508,Kencong,ID,85.59,scattered clouds,-9.6567,120.2641,
512,Gayeri,BF,71.15,clear sky,12.6497,0.4931,
515,Tabiauea,KI,81.34,light rain,3.0707,172.7902,
519,Lachi,PK,71.64,clear sky,25.2088,64.6357,
521,Poso,ID,85.59,scattered clouds,-9.6567,120.2641,
526,Loa Janan,ID,85.59,scattered clouds,-9.6567,120.2641,
539,Mbini,GQ,76.84,light rain,1.574,9.6134,
545,Puno,PE,70.56,overcast clouds,-11.0964,-77.6139,
552,Sompeta,IN,82.44,scattered clouds,11.6667,92.75,
561,Kawalu,ID,85.59,scattered clouds,-9.6567,120.2641,
570,Majene,ID,85.59,scattered clouds,-9.6567,120.2641,
574,Chicama,PE,70.56,overcast clouds,-11.0964,-77.6139,
579,Tezu,IN,82.44,scattered clouds,11.6667,92.75,
581,Merauke,ID,85.59,scattered clouds,-9.6567,120.2641,
587,Kuching,MY,85.68,few clouds,5.8402,118.1179,
588,San Cristobal,EC,74.55,overcast clouds,-0.7393,-90.3518,
591,Dwarka,IN,82.44,scattered clouds,11.6667,92.75,
594,Gamba,GA,78.04,light rain,-3.432,10.6554,
597,Cilegon,ID,85.59,scattered clouds,-9.6567,120.2641,
600,Amahai,ID,85.59,scattered clouds,-9.6567,120.2641,
601,Harper,LR,76.98,few clouds,4.375,-7.7169,
602,Mahibadhoo,MV,81.18,overcast clouds,5.4444,73.3657,
603,Payakumbuh,ID,85.59,scattered clouds,-9.6567,120.2641,
606,Pisco,PE,70.56,overcast clouds,-11.0964,-77.6139,
619,Kloulklubed,TL,71.78,scattered clouds,-8.9266,125.4092,
622,Tual,ID,85.59,scattered clouds,-9.6567,120.2641,
625,Marsh Harbour,AU,80.82,overcast clouds,-32.5833,151.7833,
637,Kuala Krai,MY,85.68,few clouds,5.8402,118.1179,
640,Diu,IN,82.44,scattered clouds,11.6667,92.75,
642,Gemena,CD,72.88,broken clouds,3.25,19.7667,
644,Port-Gentil,GA,78.04,light rain,-3.432,10.6554,
650,Dekar,BW,73.51,broken clouds,-21.5667,21.7833,
657,Eydhafushi,MV,81.18,overcast clouds,5.4444,73.3657,
658,Palauig,PH,87.93,overcast clouds,9.7531,122.4739,
671,Luganville,VU,83.75,overcast clouds,-16.0667,167.3833,
676,Bairiki,KI,81.34,light rain,3.0707,172.7902,
681,Malwan,IN,82.44,scattered clouds,11.6667,92.75,
