City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Zhuhai,CN,22.2769,113.5678,69.71,63,20,9.22,few clouds
1,La Ronge,CA,55.1001,-105.2842,-3.75,71,40,2.3,scattered clouds
2,Port Blair,IN,11.6667,92.75,82.44,65,40,10.36,scattered clouds
3,Ushuaia,AR,-54.8,-68.3,38.86,81,75,6.91,broken clouds
4,Dingle,PH,10.9995,122.6711,86.76,59,97,11.03,overcast clouds
5,Yellowknife,CA,55.1001,-105.2842,-3.75,71,40,2.3,scattered clouds
6,Naifaru,MV,5.4444,73.3657,81.18,72,95,2.21,overcast clouds
7,Ukiah,US,39.1502,-123.2078,59.38,76,0,0.0,clear sky
8,Yar-Sale,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
9,Chuy,UY,-33.6971,-53.4616,58.23,60,10,11.01,clear sky
10,Qaanaaq,GL,77.484,-69.3632,-7.1,68,87,7.83,overcast clouds
11,Chokurdakh,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
12,Bredasdorp,ZA,-34.5322,20.0403,69.28,88,100,9.22,overcast clouds
13,Lac Du Bonnet,CA,55.1001,-105.2842,-3.75,71,40,2.3,scattered clouds
14,Albany,US,42.6001,-73.9662,16.92,68,52,3.0,broken clouds
15,Mataura,NZ,-46.1927,168.8643,60.48,47,98,5.53,overcast clouds
16,Khandyga,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
17,Clarence Town,AU,-32.5833,151.7833,80.82,53,94,10.29,overcast clouds
18,Barcelos,PT,41.5388,-8.6151,46.54,88,16,3.09,few clouds
19,Hamilton,US,39.1502,-123.2078,59.38,76,0,0.0,clear sky
20,Illoqqortoormiut,GL,77.484,-69.3632,-7.1,68,87,7.83,overcast clouds
21,Port Elizabeth,ZA,-34.5322,20.0403,69.28,88,100,9.22,overcast clouds
22,Atuona,NZ,-46.1927,168.8643,60.48,47,98,5.53,overcast clouds
23,Busselton,US,42.6001,-73.9662,16.92,68,52,3.0,broken clouds
24,Sakakah,SA,29.9697,40.2064,51.37,26,10,3.98,clear sky
25,Mar Del Plata,AR,-54.8,-68.3,38.86,81,75,6.91,broken clouds
26,Boa Vista,PT,41.5388,-8.6151,46.54,88,16,3.09,few clouds
27,Bethel,US,39.1502,-123.2078,59.38,76,0,0.0,clear sky
28,Upernavik,GL,77.484,-69.3632,-7.1,68,87,7.83,overcast clouds
29,Anadyr,RU,66.8333,70.8333,-17.12,99,98,7.74,overcast clouds
30,Camacha,PT,33.0833,-16.3333,58.42,72,20,5.75,few clouds
31,Yichang,CN,22.2769,113.5678,69.71,63,20,9.22,few clouds
32,Waingapu,ID,-9.6567,120.2641,85.59,67,40,8.57,scattered clouds
33,Nur,PL,52.6683,22.3221,31.78,67,6,11.12,clear sky
34,New Norfolk,US,42.6001,-73.9662,16.92,68,52,3.0,broken clouds
